date,open,close,high,low,amount
2023-12-05,414.46,406.76,419.65,406.37,935813.0
2023-12-06,404.64,416.19,420.04,403.87,1128598.0
2023-12-07,413.3,410.03,414.26,407.14,841149.0
2023-12-08,413.49,409.07,414.26,406.57,703117.0
2023-12-11,404.45,410.41,411.18,399.06,960102.0
2023-12-12,409.45,410.8,415.03,408.3,710170.0
2023-12-13,406.57,400.6,409.84,400.41,725731.0
2023-12-14,404.64,401.37,410.99,400.99,652686.0
2023-12-15,404.26,408.11,415.8,404.26,1580292.0
2023-12-18,405.22,398.68,408.11,397.91,790445.0
2023-12-19,397.52,402.14,406.57,395.21,880685.0
2023-12-20,403.87,400.41,405.99,400.22,723129.0
2023-12-21,397.52,419.65,422.92,396.56,2466195.0
2023-12-22,417.15,418.5,424.65,412.53,1478760.0
2023-12-25,418.88,419.65,421.19,415.03,692299.0
2023-12-26,418.5,413.88,418.5,411.57,727846.0
2023-12-27,413.88,408.11,415.42,404.26,812305.0
2023-12-28,406.76,447.94,447.94,404.83,3118579.0
2023-12-29,456.6,450.82,456.6,447.36,2651051.0
2024-01-02,445.24,437.35,450.63,437.35,1588620.0
2024-01-03,437.35,441.01,444.67,435.24,1292435.0
2024-01-04,438.89,433.12,439.28,428.69,1113381.0
2024-01-05,430.81,425.42,438.32,421.38,1134272.0
2024-01-08,422.15,426.0,436.97,421.19,1181357.0
2024-01-09,426.19,438.12,450.25,422.73,2073670.0
2024-01-10,433.51,437.93,448.9,430.81,1677315.0
2024-01-11,433.89,440.43,443.13,431.97,1577210.0
2024-01-12,437.35,435.62,448.9,434.08,1566502.0
2024-01-15,431.58,430.43,438.89,428.89,1074905.0
2024-01-16,427.73,435.81,439.86,425.42,1334890.0
2024-01-17,433.51,420.04,433.51,419.65,1160138.0
2024-01-18,415.42,448.9,449.28,414.46,3176700.0
2024-01-19,445.82,435.43,448.51,435.43,1772037.0
2024-01-22,433.51,428.12,437.35,422.15,1565631.0
2024-01-23,427.54,434.66,444.09,423.11,1591781.0
2024-01-24,435.24,429.27,437.16,416.38,1663238.0
2024-01-25,426.96,439.28,439.28,421.19,1566291.0
2024-01-26,434.47,432.74,441.59,430.04,1155542.0
2024-01-29,427.73,402.72,427.93,402.72,2056406.0
2024-01-30,400.22,399.45,408.11,398.48,980927.0
2024-01-31,397.91,382.51,403.87,382.51,1549702.0
2024-02-01,377.51,387.13,396.75,377.51,1124291.0
2024-02-02,385.4,373.28,389.63,360.58,1449100.0
2024-02-05,371.93,359.81,373.08,348.84,1501729.0
2024-02-06,358.65,387.32,388.09,357.3,1645098.0
2024-02-07,388.48,390.59,397.14,383.86,1663560.0
2024-02-08,393.1,399.06,401.95,393.1,1231190.0
2024-02-19,399.06,398.68,401.76,395.02,975210.0
2024-02-20,398.48,394.64,398.48,390.02,884672.0
2024-02-21,391.36,402.72,409.26,388.86,1357139.0
2024-02-22,400.79,406.95,414.07,400.79,1011049.0
2024-02-23,406.95,411.95,415.99,406.95,1154068.0
2024-02-26,412.34,408.11,414.07,405.6,924065.0
2024-02-27,406.57,414.26,414.26,404.83,1024840.0
2024-02-28,418.5,406.95,430.43,406.95,1810174.0
2024-02-29,403.68,418.88,419.07,401.95,1393513.0
2024-03-01,423.88,425.81,427.35,415.99,1621201.0
2024-03-04,425.04,424.46,433.12,421.38,1416728.0
2024-03-05,420.04,414.65,420.61,411.38,1355563.0
2024-03-06,414.26,422.54,430.43,409.26,1553089.0
2024-03-07,420.04,410.41,423.5,410.41,1098269.0
2024-03-08,410.8,424.46,426.77,410.8,1679072.0
2024-03-11,433.12,436.58,440.05,425.42,2170452.0
2024-03-12,437.74,439.66,444.28,434.66,1712245.0
2024-03-13,438.51,431.39,438.51,430.43,1256993.0
2024-03-14,431.39,424.85,433.12,420.61,1106537.0
2024-03-15,423.11,422.15,425.04,416.57,933108.0
2024-03-18,422.73,427.16,427.16,420.23,1085902.0
2024-03-19,423.69,417.15,430.23,417.15,1363185.0
2024-03-20,416.57,416.38,421.77,412.72,939267.0
2024-03-21,414.84,411.38,417.34,409.84,995082.0
2024-03-22,408.87,396.75,410.03,396.37,1369151.0
2024-03-25,395.02,393.87,400.6,392.52,802298.0
2024-03-26,395.02,399.25,401.56,393.1,853894.0
2024-03-27,399.06,386.17,399.06,386.17,913705.0
2024-03-28,386.17,387.52,391.75,385.59,704293.0
2024-03-29,388.29,385.59,390.59,381.17,728304.0
2024-04-01,388.48,397.91,398.29,387.71,1019119.0
2024-04-02,397.91,395.98,400.02,391.17,883542.0
